Order,Embedding,Classifier,Accuracy,AUC,F1,Precision,Recall
first,Feather-G,SVM,0.8898809523809523,0.8954433341765748,0.8931665062560153,0.818342151675485,0.9830508474576272
first,Feather-G,RF,0.9434523809523809,0.9427807993928661,0.9391675560298826,0.946236559139785,0.9322033898305084
first,Graph2Vec,SVM,0.5992063492063492,0.587085757652416,0.480719794344473,0.6111111111111112,0.3961864406779661
first,Graph2Vec,RF,0.6150793650793651,0.6157981280040477,0.6040816326530613,0.5826771653543307,0.6271186440677966
