Order,Embedding,Classifier,Accuracy,AUC,F1,Precision,Recall,Best Params
first,Feather-G,GB,0.9404761904761905,0.940994181634202,0.9372384937238494,0.9256198347107438,0.9491525423728814,"{'gradientboostingclassifier__learning_rate': 0.001, 'gradientboostingclassifier__max_depth': 5, 'gradientboostingclassifier__n_estimators': 100, 'gradientboostingclassifier__subsample': 0.5}"
first,Feather-G,SVM,0.8878968253968254,0.8935776625347837,0.8914505283381364,0.8154657293497364,0.9830508474576272,"{'sgdclassifier__alpha': 0.0001, 'sgdclassifier__max_iter': 1000, 'sgdclassifier__penalty': 'elasticnet'}"
first,Feather-G,RF,0.9424603174603174,0.9422274222109791,0.9385593220338984,0.9385593220338984,0.9385593220338984,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}"
first,Feather-G,MLP,0.9246031746031746,0.9274601568429042,0.9235412474849095,0.8793103448275862,0.972457627118644,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 0.001, 'mlpclassifier__hidden_layer_sizes': (50, 50)}"
first,Graph2Vec,GB,0.9404761904761905,0.940994181634202,0.9372384937238494,0.9256198347107438,0.9491525423728814,"{'gradientboostingclassifier__learning_rate': 0.001, 'gradientboostingclassifier__max_depth': 5, 'gradientboostingclassifier__n_estimators': 100, 'gradientboostingclassifier__subsample': 0.5}"
first,Graph2Vec,SVM,0.8878968253968254,0.8935776625347837,0.8914505283381364,0.8154657293497364,0.9830508474576272,"{'sgdclassifier__alpha': 0.0001, 'sgdclassifier__max_iter': 1000, 'sgdclassifier__penalty': 'elasticnet'}"
first,Graph2Vec,RF,0.9424603174603174,0.9422274222109791,0.9385593220338984,0.9385593220338984,0.9385593220338984,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}"
first,Graph2Vec,MLP,0.9246031746031746,0.9274601568429042,0.9235412474849095,0.8793103448275862,0.972457627118644,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 0.001, 'mlpclassifier__hidden_layer_sizes': (50, 50)}"
